text,company,url,source_pool,llm_label,llm_confidence,llm_reason
나이: - 현재 비자 기간 : - 거주 예상 기간: - 뷰잉 가능 날짜 및 시간: 연락처: https://open.kakao.com/o/s5WfXyEi 거실 여기를 눌러 링크를 확인하세요 open.kakao.com,카카오,https://cafe.daum.net/ourvancouver/4Nd0/1046700,filter_candidate,filter,high,연락처와 링크를 통해 개인 간 거래나 서비스 홍보의 성격이 강해 광고/스팸으로 판단됩니다.
예약진행은 카카오톡 채널 [푸꾸옥도깨비호텔] 문의주세요 :) https://pf.kakao.com/_MExbJT ※ 호텔입금계좌 NH농협은행 / 도깨비트래블 (주) / *** - **** - **** -** ⚠️ 안내된 카카오채널과 공식...,카카오,https://cafe.naver.com/ysm5828/9599889,filter_candidate,filter,high,호텔 예약 문의 및 계좌 안내를 포함하고 있어 판매/홍보성 게시글로 판단됩니다.
"⭐ 사재기, 사기 예방을 위해 [검색 · 네이버 서비스 공개] 체크를 해제해주세요. ⭐ 댓글 없이 바로 개인 연락을 시도하거나 인게임 친구 요청, 귓속말로 거래를 요구하는 경우 반드시 거절하시기 바랍니다. (사재기...",네이버,https://cafe.naver.com/elswordmall/4027248,filter_candidate,filter,high,"구매/거래 예방 안내 및 경고성 문구로, 일반적인 기업 반응이나 의견이라 보기 어렵습니다."
"상품 정보 더보기 〉 상품 정보 ssg랜더스 필드 / 푸빌라 피규어셑 판매합니다 19,000원 시세조회 결제 혜택... 상세 ssg랜더스 푸빌라 피규어셑입니다 사진에 보이는데로 보내드립니다 장식장에 전시만 한거라 박스는...",SSG,https://cafe.naver.com/joonggonara/1133190330,filter_candidate,filter,high,상품 판매와 관련된 내용이므로 광고/스팸 게시글로 판단됩니다.
후 가격 함께 제시해주세요 댓글이나 오픈채팅 카톡 편하게 부탁드립니다~~~ https://open.kakao.com/o/sknyA4Hi 27 백구 여기를 눌러 링크를 확인하세요 open.kakao.com,카카오,https://cafe.daum.net/educationstudy/LxDZ/3259,filter_candidate,filter,high,오픈채팅 링크를 통해 구매 또는 문의를 유도하는 스팸성 게시글로 판단됩니다.
"사칭하는 카카오톡 채널이 있습니다 저희는 채널 운영을 하지 않습니다 오직 전화상담, 아이젠트리 금호점 오픈채팅, 카톡ID egg3949 친구추가로 상담 운영 중 입니다 유의 해 주세요...",카카오,https://blog.naver.com/egg3949/224374976064,filter_candidate,filter,high,특정 연락처를 안내하며 상담을 유도하는 홍보/광고성 게시글입니다.
상세내역 안내주시면 답 드리겠습니다 바로 매매 가능합니다 댓글주셔도 됩니다 카카오톡 오픈채팅을 시작해 보세요. 링크를 선택하면 카카오톡이 실행됩니다. 서울...,카카오,https://cafe.daum.net/spodream/1gh5/72520,filter_candidate,filter,high,매매 가능 및 카카오톡 문의 유도 등 전형적인 판매/광고성 게시글입니다.
"스타롤/빅스타롤/충전식 열헤어롤/헤어롤 상품코드: 1490615381 상품 선택옵션 1 개, 추가옵션 1 개 [11번가에서보기] 판매가격 11,900원 한국내 배송비 무료 해외 배송비 주문하시는 모든상품이 비앤샵 도착후...",11번가,http://bnshop.net/bns/est/product.php?detail_url=http%3A%2F%2Fwww.11st.co.kr%2Fproduct%2FSellerProductDetail.tmall%3Fmethod%3DgetSellerProductDetail%26prdNo%3D1490615381&product_id=1490615381&category_id=1002073,filter_candidate,filter,high,상품 코드와 가격 정보가 명시된 판매/홍보성 게시글로 판단됩니다.
"★사기 통합 조회 https://web.joongna.com/fraud @ 택배거래는 영상통화 & 카카오톡 영상통화 이용하여, 제품 확인하시고 거래하세요. @ 중고 장터 수칙 준수 https://cafe.naver.com/drhp/1389965 #삽니다 역시...",카카오,https://cafe.naver.com/drhp/2633573,filter_candidate,filter,high,특정 거래 방법 안내 및 웹사이트 링크 포함은 스팸 또는 거래 유도 성격이 강함.
"인천공항밴예약은 최소 하루 전에 온라인으로 신청이 가능한데, 저는 출발 2일 전에 올밴 홈페이지에서 예약을 완료했고, 카카오톡으로 예약 확인과 차량 정보(차종, 차량번호, 기사님 연락처)까지 빠르게 받을...",카카오,https://blog.naver.com/ptrackuog79/224370917003,filter_candidate,normal,high,실제 서비스 이용 경험 및 예약 과정에 대한 사용자의 구체적인 후기이기 때문입니다.
택포6만원입니다 링크를 선택하면 카카오톡이 실행됩니다. 노랭이 https://open.kakao.com/o/stNqGGHi,카카오,https://cafe.daum.net/precta/4bC1/639555,filter_candidate,filter,high,카카오톡 링크를 통한 구매 문의 형태의 광고성 게시글로 판단됩니다.
접근 방식 특징 네이버 밴드 투자 정보 공유 공간처럼 운영 카카오톡 오픈채팅 전문가 또는 매니저 역할 계정 활용 SNS 광고 높은 관심을 끄는 투자 내용으로 유입 문자 메시지 특정 종목 정보 제공 형태 텔레그램...,네이버,https://blog.naver.com/skruddyd89210/224370920732,filter_candidate,filter,high,특정 플랫폼의 정보 공유 방식 및 특징을 설명하는 일반적 설명글이므로 실제 기업 의견이나 사건 보도와 관련이 적습니다.
연락처: ***-****-**** ※ 면접 시 회원 배정 방식 및 센터 내부 시스템을 상세히 안내 [짐웨이 진안점 네이버 플레이스 링크] https://map.naver.com/p/search...,네이버,https://cafe.daum.net/spodream/7EwY/1358802,filter_candidate,filter,high,연락처와 구체적인 지점 안내가 포함되어 있어 광고성 또는 홍보성 게시글로 판단됩니다.
com/_dxcxnhG/chat ★카톡문의환영 ★ 카카오 친구 추가하면 좋은점 1. 실시간 시세표 제공 2. 실시간 채팅상담 가능 3. 실시간 재고현황 제공 4. 가장빠른 특가 소식. ※ 꼭 확인해주세요...,카카오,https://cafe.naver.com/busanjungonara/6094681,filter_candidate,filter,high,카카오톡 문의 유도와 특가 정보를 나열하는 전형적인 홍보/광고성 게시글입니다.
"고정 렌트, 이후 한 달씩 자동 갱신 - 주택/단지 내 절대 흡연 금지 - 전기 비용 미포함 - Strata move-in/out Fee 미포함 오픈카톡➡️➡️ https://open.kakao.com/o/snY4VmBh",카카오,https://cafe.daum.net/ourvancouver/4Nd0/1046554,filter_candidate,filter,high,카카오톡 오픈채팅방 링크가 포함되어 있어 판매 또는 홍보성 게시글로 판단됩니다.
- 스마트스토어 / 에이블리 / 11번가 / 쿠팡 / 옥션 / 지마켓 등 다양한 이커머스 판매 관련 커뮤니티 입니다. - 그 외 위탁판매 / 구매대행 / 매출자랑 / 상위노출 등 다양한 판매 노하우 및 공략을 공유하는 공간입니다...,에이블리,https://cafe.naver.com/dokdotrue/6758,filter_candidate,filter,high,판매 노하우 및 비즈니스 방법에 대한 홍보성이 강한 게시글입니다.
